easting_kkj,northing_kkj,easting_etrs_exact,northing_etrs_exact,easting_etrs_interpolated,northing_etrs_interpolated,easting_interpolated_minus_exact,northing_interpolated_minus_exact
3383315.84351104,6717944.66545533,383193.649198493,6715125.30453953,383193.648621159,6715125.30440698,-0.000577333790715784,-0.00013255700469017
3383775.71093166,6723030.71574877,383653.290620238,6720209.28069144,383653.290394607,6720209.28022889,-0.000225631461944431,-0.000462548807263374
3378775.82331559,6726294.68344513,378655.405837247,6723471.88801184,378655.405717018,6723471.88790388,-0.000120229437015951,-0.000107952393591404
3562176.46340655,6916011.55677246,561980.454498918,6913113.5308241,561980.454484911,6913113.53082436,-1.40067422762513e-05,2.56113708019257e-07
3553616.11067056,6911390.50051036,553423.59950859,6908494.28589761,553423.599829383,6908494.2857994,0.000320792780257761,-9.82098281383514e-05
3541201.4697126,6916464.08320444,541013.972981841,6913565.72437446,541013.973528865,6913565.72414556,0.000547024072147906,-0.000228905119001865
3549220.83440442,6914273.39225817,549030.093182335,6911375.97822148,549030.092391451,6911375.97831099,-0.00079088460188359,8.95131379365921e-05
3560722.22933339,6913440.59216768,560526.823445929,6910543.59755646,560526.823400947,6910543.59747032,-4.49814833700657e-05,-8.61380249261856e-05
3534982.82658609,6912311.69549094,534797.874711875,6909414.97479494,534797.874746966,6909414.9747348,3.50915361195803e-05,-6.01410865783691e-05
3548451.99847961,6915655.46935104,548261.562524816,6912757.48984312,548261.561691486,6912757.48992522,-0.000833329395391047,8.21081921458244e-05
3544651.21721219,6913496.99508384,544462.334777462,6910599.863052,544462.334611973,6910599.86280906,-0.000165488570928574,-0.000242941081523895
3543218.29037268,6913328.91968806,543029.990438506,6910431.84554199,543029.99045385,6910431.84523097,1.5344237908721e-05,-0.000311015173792839
3541793.31515569,6909954.94496197,541605.610331478,6907059.22772546,541605.610540137,6907059.22721811,0.000208658748306334,-0.000507350079715252
3453527.25508205,6762053.0139654,453376.289111304,6759216.50645078,453376.289440727,6759216.50633458,0.000329422822687775,-0.000116202048957348
3450206.24250678,6753367.97782228,450056.642906914,6750534.88257438,450056.64247825,6750534.8823846,-0.000428663799539208,-0.000189779326319695
3442941.93547626,6754911.04677549,442795.298890881,6752077.23916251,442795.298738567,6752077.23928729,-0.000152313965372741,0.000124779529869556
3445307.38424685,6752942.70366545,445159.78466423,6750109.71151949,445159.784664496,6750109.71149259,2.6606721803546e-07,-2.68993899226189e-05
3440726.18498299,6756020.36878844,440580.451372086,6753186.08966938,440580.451564426,6753186.08961641,0.000192340521607548,-5.296990275383e-05
3442642.5695487,6758110.68939847,442496.051138688,6755275.60410385,442496.051114585,6755275.60411954,-2.41022789850831e-05,1.569464802742e-05
3455552.8411045,6750617.89890004,455401.062722089,6747785.9705677,455401.062360357,6747785.97061019,-0.00036173133412376,4.24869358539581e-05
3443905.76948181,6753051.41854931,443758.741836245,6750218.36419364,443758.741823323,6750218.36426448,-1.29215186461806e-05,7.08391889929771e-05
3443296.58007615,6751842.36555031,443149.802589041,6749009.78423577,443149.802701548,6749009.78436351,0.00011250760871917,0.000127745792269707
